source ID,target ID
G0108,T1218.011
G0108,T1021.002
G0108,T1053.005
G0108,T1569.002
G0108,T1082
G0108,T1588.002
G0108,T1059.003
G0108,T1047
G0108,T1546.003
G0108,T1543.003
G0008,T1102.002
G0008,T1562.004
G0008,T1036.004
G0008,T1036.005
G0008,T1219
G0008,T1218.011
G0008,T1588.002
G0008,T1078
G0008,T1543.003
G0114,T1560.001
G0114,T1119
G0114,T1217
G0114,T1070.001
G0114,T1110.004
G0114,T1589.001
G0114,T1574.002
G0114,T1071.004
G0114,T1039
G0114,T1087.002
G0114,T1078.002
G0114,T1556.001
G0114,T1482
G0114,T1041
G0114,T1567.002
G0114,T1133
G0114,T1070.004
G0114,T1083
G0114,T1105
G0114,T1570
G0114,T1087.001
G0114,T1074.001
G0114,T1114.001
G0114,T1069.001
G0114,T1036.005
G0114,T1003.003
G0114,T1106
G0114,T1046
G0114,T1135
G0114,T1027
G0114,T1550.002
G0114,T1201
G0114,T1110.003
G0114,T1059.001
G0114,T1057
G0114,T1572
G0114,T1012
G0114,T1074.002
G0114,T1021.001
G0114,T1114.002
G0114,T1018
G0114,T1021.002
G0114,T1053.005
G0114,T1569.002
G0114,T1213.002
G0114,T1082
G0114,T1016
G0114,T1049
G0114,T1033
G0114,T1007
G0114,T1124
G0114,T1070.006
G0114,T1588.002
G0114,T1111
G0114,T1078
G0114,T1071.001
G0114,T1059.003
G0114,T1047
G0114,T1021.006
G0003,T1557.002
G0003,T1003.001
G0003,T1587.001
G0003,T1585.001
G0003,T1588.002
G0080,T1573.002
G0080,T1548.002
G0080,T1218.003
G0080,T1195.002
G0080,T1071.004
G0080,T1559.002
G0080,T1203
G0080,T1068
G0080,T1070.004
G0080,T1105
G0080,T1059.007
G0080,T1037.001
G0080,T1204.002
G0080,T1204.001
G0080,T1046
G0080,T1027
G0080,T1218.008
G0080,T1059.001
G0080,T1055
G0080,T1572
G0080,T1547.001
G0080,T1218.010
G0080,T1219
G0080,T1021.001
G0080,T1053.005
G0080,T1518.001
G0080,T1566.001
G0080,T1566.002
G0080,T1588.002
G0080,T1059.005
G0080,T1071.001
G0080,T1059.003
G0080,T1543.003
G0080,T1220
G0052,T1560.003
G0052,T1560.001
G0052,T1553.002
G0052,T1564.003
G0052,T1059.001
G0052,T1218.011
G0052,T1588.002
G0132,T1090.003
G0132,T1046
G0132,T1572
G0132,T1053.005
G0132,T1588.002
G0070,T1218.001
G0070,T1005
G0070,T1189
G0070,T1083
G0070,T1204.002
G0070,T1027
G0070,T1547.001
G0070,T1113
G0070,T1027.002
